date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:25:54	227073/227073	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202024%2002:10:24%20GMT	https://alis-lighting.vn/	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/index.html	(from )
09:25:54	0/0	---M--	200	added ('OK')	text/plain	etag:%220-67025396-2bad196e3dcafb8e;;;%22	https://alis-lighting.vn/robots.txt		(from )
09:25:55	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:55%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/7m337lyu/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/7m337lyu/h5os5.0.delayed	(from https://alis-lighting.vn/)
09:25:55	403/403	---M-Z	200	added ('OK')	text/css	etag:%22193-676883d3-cebbfd846071e774;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/7m337lyu/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/7m337lyu/h5os5.css	(from https://alis-lighting.vn/)
09:25:55	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:55%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/mar1f0vr/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/mar1f0vr/h5os5.css	(from https://alis-lighting.vn/)
09:25:55	175796/175796	---M-Z	200	added ('OK')	text/css	etag:%222aeb4-676883d3-e0dc377e65bb68e7;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/mar1f0vr/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/mar1f0vr/h5os5.css	(from https://alis-lighting.vn/)
09:25:56	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:56%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/l215bn65/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/l215bn65/h5os5.css	(from https://alis-lighting.vn/)
09:25:56	2662/2662	---M-Z	200	added ('OK')	text/css	etag:%22a66-676883d3-5035ffde23d25cb5;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/l215bn65/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/l215bn65/h5os5.css	(from https://alis-lighting.vn/)
09:25:56	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:56%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/swm0kbf/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/swm0kbf/h5os5.css	(from https://alis-lighting.vn/)
09:25:56	282148/282148	---MCZ	200	added ('OK')	text/xml	date:Mon,%2030%20Dec%202024%2002:25:56%20GMT	https://alis-lighting.vn/feed/	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/feed/index.html	(from https://alis-lighting.vn/)
09:25:57	17688/17688	---M-Z	200	added ('OK')	text/css	etag:%224518-676883d3-dbefe14b67593988;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/swm0kbf/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/swm0kbf/h5os5.css	(from https://alis-lighting.vn/)
09:25:58	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:57%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/dq2axeja/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/dq2axeja/h5os5.css	(from https://alis-lighting.vn/)
09:25:58	747/747	---M-Z	200	added ('OK')	text/xml	date:Mon,%2030%20Dec%202024%2002:25:57%20GMT	https://alis-lighting.vn/comments/feed/	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/comments/feed/index.html	(from https://alis-lighting.vn/)
09:25:58	7427/7427	---M-Z	200	added ('OK')	text/css	etag:%221d03-676883d3-c2c7d24cd83b9ba1;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/dq2axeja/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/dq2axeja/h5os5.css	(from https://alis-lighting.vn/)
09:25:59	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:59%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/f2ynij0r/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/f2ynij0r/h5os5.css	(from https://alis-lighting.vn/)
09:25:59	82988/82988	---M-Z	200	added ('OK')	text/css	etag:%221442c-676883d3-782a50ea2654e536;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/f2ynij0r/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/f2ynij0r/h5os5.css	(from https://alis-lighting.vn/)
09:25:59	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:25:59%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/8z2c6esn/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/8z2c6esn/h5os5.css	(from https://alis-lighting.vn/)
09:25:59	13779/13779	---M-Z	200	added ('OK')	text/css	etag:%2235d3-676883d3-c182421fd58577c7;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/8z2c6esn/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/8z2c6esn/h5os5.css	(from https://alis-lighting.vn/)
09:26:00	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:26:00%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/70e5n4gj/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/70e5n4gj/h5os5.css	(from https://alis-lighting.vn/)
09:26:00	20392/20392	---M-Z	200	added ('OK')	text/css	etag:%224fa8-676883d3-35c92f2b1359e824;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/70e5n4gj/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/70e5n4gj/h5os5.css	(from https://alis-lighting.vn/)
09:26:00	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:26:00%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/13go06ks/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/13go06ks/h5os5.css	(from https://alis-lighting.vn/)
09:26:00	53399/53399	---M-Z	200	added ('OK')	text/css	etag:%22d097-676883d3-cc95d43c3326b006;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/13go06ks/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/13go06ks/h5os5.css	(from https://alis-lighting.vn/)
09:26:01	223614/223614	---M--	200	added ('OK')	image/jpeg	etag:%223697e-67025400-266e61c347c73748;;;%22	https://alis-lighting.vn/wp-content/uploads/2024/07/E83A9096-scaled.jpg	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/uploads/2024/07/E83A9096-scaled.jpg	(from https://alis-lighting.vn/)
09:26:02	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:26:01%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/6oomx03c/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/6oomx03c/h5os5.css	(from https://alis-lighting.vn/)
09:26:02	974/974	---M-Z	200	added ('OK')	text/css	etag:%223ce-676883d3-5dd9bba65a6cfe78;gz%22	https://alis-lighting.vn/wp-content/cache/wpfc-minified/6oomx03c/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/6oomx03c/h5os5.css	(from https://alis-lighting.vn/)
09:26:03	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Dec%202024%2002:26:03%20GMT	http://alis-lighting.vn/wp-content/cache/wpfc-minified/k15o5c60/h5os5.css	C:/My%20Web%20Sites/alislighting/alis-lighting.vn/wp-content/cache/wpfc-minified/k15o5c60/h5os5.css	(from https://alis-lighting.vn/)
